PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
pound-force;lbf;unit of the force according to the Anglo-American system of units with the relation 1 pound-force = 4,448 221 615 260 500 kg•m/s²;NIST Special Publication 811:1995;If the local value of the acceleration of free fall is taken as gn=9,806 65 m/s² (the standard value), the exact conversion factor is 4,448 221 615 260 5.;lbf;;lbf;pound-force;C78;pound-force;;0173-1#05-AAA137#003;force
nanoohm metre;nΩ·m;0,000 000 001 fold of the product of the SI derived unit ohm and the SI base unit metre;;;nΩ·m;nanoohm metre;nΩ m;nanoohm metre;C46;;;0173-1#05-AAA138#003;resistivity
reciprocal metre squared;m⁻²;reciprocol of the power of the SI base unit metre with the exponent 2;;;m⁻²;reciprocal square metre;m⁻²;reciprocal metre squared;C93;;;0173-1#05-AAA139#003;particle fluence
kibibit per metre;Kibit/m;1024 fold of the unit bit divided by the SI base unit metre;;;Kibit/m;kibibit per metre;Kibit m⁻¹;kibibit per metre;E72;;;0173-1#05-AAA141#003;lineic data volume
farad per metre;F/m;SI derived unit farad divided by the SI base unit metre;DIN 1301-2, ISO 1000;;F/m;farad per metre;F m⁻¹;farad per metre;A69;farad per meter;;0173-1#05-AAA142#003;permittivity
milliwatt;mW;0,001 fold of the SI derived unit watt;;;mW;milliwatt;mW;milliwatt;C31;;;0173-1#05-AAA143#003;active power
milliradian;mrad;0,001 fold of the unit radian;;;mrad;;mrad;milliradian;C25;;;0173-1#05-AAA144#004;plane angle
grad_Celsius per bar;°C/bar;unit with the name °Celsius divided by the unit bar;;;°C/bar;grad_Celsius per bar;°C bar⁻¹;grad_Celsius per bar;F60;;;0173-1#05-AAA145#003;pressure-based temperature
French gauge;Fg;unit for the diameter of thin tubes in the medical technology (e.g. catheter) and telecommunications engineering (e.g. fiberglasses) with correspondence to: 1 Fg = 0,333 333 333 10⁻³ m;;;;;Fg;French gauge;H79;;;0173-1#05-AAA146#005;distance
cubic metre per day kelvin;(m³/d)/K;power of the SI base unit metre with the exponent 3 divided by the product out of the unit day and the SI base unit kelvin;;;m³/(d.K);cubic metre per day kelvin;m³ d⁻¹ K⁻¹;cubic metre per day kelvin;G69;;;0173-1#05-AAA147#003;temperature-based volume flow rate
gram per day bar;(g/d)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the unit day and the unit bar;;;g/(d.bar);gram per day bar;g d⁻¹ bar⁻¹;gram per day bar;F62;;;0173-1#05-AAA149#003;pressure-based mass flow
millilitre per minute bar;(ml/min)/bar;0,001 fold of the unit litre divided by the product out of the unit minute and the unit bar;;;ml/(min.bar);millilitre per minute bar;ml min⁻¹ bar⁻¹;millilitre per minute bar;G92;;;0173-1#05-AAA150#003;pressure-based volume flow
ohm per kilometre;Ω/km;SI derived unit ohm divided by the 1000 fold of the SI base unit metre;;;Ω/km;ohm per kilometre;Ω km⁻¹;ohm per kilometre;F56;;;0173-1#05-AAA151#003;lineic resistance
volt;V;SI derived unit with special name, for which the following relation applies: 1 V = 1 W·A⁻¹  = 1 m²·kg·s⁻³·A⁻¹;;;V;volt;V;volt;VLT;volt;;0173-1#05-AAA153#003;voltage
millilitre per bar;ml/bar;0,001 fold of the unit litre divided by the unit bar;;;ml/bar;millilitre per bar;ml bar⁻¹;millilitre per bar;G97;;;0173-1#05-AAA155#002;pressure-based volume
gram per day kelvin;(g/d)/K;0,001 fold of the SI base unit kilogram divided by the product out of the unit day and the SI base unit kelvin;;;g/(d·K);gram per day kelvin;g d⁻¹ K⁻¹;gram per day kelvin;F35;;;0173-1#05-AAA156#003;temperature-based mass flow rate
exbibit per square metre;Eibit/m²;1 152 921 504 606 846 976 fold of the unit bit divided by the power of the SI base unit metre with the exponent 2;;;Eibit/m²;exbibit per square metre;Eibit m⁻²;exbibit per square metre;E66;;;0173-1#05-AAA157#003;areic data volume
litre per day;l/d;unit litre divided by the unit day;;;l/d;litre per day;l d⁻¹;litre per day;LD;;;0173-1#05-AAA158#003;volume flow rate or volume velocity
millijoule;mJ;0,001 fold of the SI derived unit joule;;;mJ;millijoule;mJ;millijoule;C15;;;0173-1#05-AAA159#003;kinetic or thermal energy
inch;in;unit of the length according the Anglo-American and the Imperial system of units with the relation according to NIST: 1 inch = 1/12 foot = 1/36 yard = 0,025 4 metres;NIST Special Publication 811:1995;;;;;inch;INH;inch;;0173-1#05-AAA161#003;distance
rem;rem;illegal unit for the equivalent dose, for which the following relation applies: 1 rem = 0,01 Sievert  = 0,01 square metres per power of second with the exponent 2;NIST Special Publication 811:1995;The rem (roentgen equivalent in man) is  displaced since 1978, january 1st, by the SI unit sievert.;;;;rem;D91;Rem;;0173-1#05-AAA162#003;dose equivalent
curie;Ci;activity of 1 g ²²⁶radium, accordant circa 3,7·10¹⁰ becquerel;;;Ci;curie;Ci;curie;CUR;curie;;0173-1#05-AAA163#002;radioactivity
kelvin per watt;K/W;SI base unit kelvin divided by the SI derived unit watt;;;K/W;kelvin per watt;K W⁻¹;kelvin per watt;B21;kelvin per watt;;0173-1#05-AAA164#003;thermal resistance
degree per second;°/s;unit degree divided by the SI base unit second;;;°/s;;° s⁻¹;degree per second;E96;;;0173-1#05-AAA165#003;angular velocity
kilocoulomb per cubic metre;kC/m³;1000 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3;;;kC/m³;kilocoulomb per cubic metre;kC m⁻³;kilocoulomb per cubic metre;B27;;;0173-1#05-AAA166#003;volume density of charge
cubic decimetre;dm³;0,001 fold of the power of the SI base unit metre with the exponent 3;;;dm³;cubic decimetre;dm³;cubic decimetre;DMQ;;;0173-1#05-AAA167#003;volume or section modulus
gill;gi (US liq.);unit of the volume according the Anglo-American system of units with the relation according to NIST: 1 liquid gill (US) = 118,294 118 25 cm³;NIST Special Publication 811:1995;1 liquid gill (US) = 4 fluid ounce (US) = 32 fluid dram (US) = 1920 drop (US) = 7,21875 inch³ = 118,29411825 cm³. 1 gi (Imp.) = 1,20095 gi (US liq.);;;;gill;G22;gill (U.S.);;0173-1#05-AAA168#003;volume or section modulus
gigawatt;GW;1 000 000 000 fold of the SI derived unit watt;;;GW;gigawatt;GW;gigawatt;A90;;;0173-1#05-AAA170#003;active power
pascal per metre;Pa/m;SI derived unit pascal divided by the SI base unit metre;;;Pa/m;pascal per metre;Pa m⁻¹;pascal per metre;H42;;;0173-1#05-AAA171#004;pressure gradient
gram per cubic decimetre;g/dm³;0,001 fold of the SI base unit kilogram divided by the 0,001 fold of the power of the SI base unit metre with the exponent 3;;;g/dm³;gram per cubic decimetre;g dm⁻³;gram per cubic decimetre;F23;;;0173-1#05-AAA172#003;density
electronvolt;eV;energy acquired by an electron in passing through a potential difference of one volt in vacuum;SI brochure, DIN 1301-1;atomic base unit;eV;electronvolt;eV;electronvolt;A53;electronvolt;;0173-1#05-AAA173#003;atomic energy
fluid ounce (US);oz (US fluid);unit of the volume according to the Anglo-American system of units with the relation 1 fluid ounce (US) = 29,573 53 Millilitres;NIST Special Publication 811:1995;1 fluid ounce (US) = 8 fluid dram (US) = 480 drop (US) = 1,8046875 cubic inch = 29,5735295625 ml;;;;fluid ounce (US);OZA;ounce (U.S. fluid);;0173-1#05-AAA174#003;volume or section modulus
milligram per second;mg/s;0,000 001 fold of the SI base unit kilogram divided by the SI base unit second;;;mg/s;milligram per second;mg s⁻¹;milligram per second;F34;;;0173-1#05-AAA176#003;mass flow rate
pint (US);pt (US liq.);unit of the volume according the Anglo-American system of units with the relation:  1 US liquid pint  = 473,176 5 cm³;NIST Special Publication 811:1995;1 liquid pint (US)  = 4 liquid gill = 28,875 inch³ = 473,176473 cm³. 1 metric pint = 2 metric cup = 0,5 litres.;;;;pint (US);PT;pint (U.S. liquid);;0173-1#05-AAA177#003;volume or section modulus
millicoulomb;mC;0,001 fold of the SI derived unit coulomb;;;mC;millicoulomb;mC;millicoulomb;D86;;;0173-1#05-AAA178#003;electric charge
litre;l;legitimated unit, which can be used beside the SI unit of the volume, the cubic metre - the applied relation: 1 litre ≔ 1 cubic decimetre;;DIN 1301, part 1, has appointed, that the name of the unit litre is neuter. Thus only the German das as article for litre is applied. As legitimated unit, litre can be used beside the SI unit of volume and cubic metre.;l;litre;l;litre;LTR;liter;;0173-1#05-AAA179#003;volume or section modulus
milliampere per pound-force square inch;mA/psi;product of the 0,001 fold of the SI base unit ampere based on the quotient of the unit pound-force according to the Anglo-American system of units divided by the power of the unit inch according to the Anglo-American and Imperial system of units with the exponent 2;;;;;;milliampere per pound-force square inch;F57;;;0173-1#05-AAA180#003;pressure-based electric current
poise per kelvin;P/K;illegal cgs unit poise divided by the SI base unit kelvin;;;;;;poise per kelvin;F86;;;0173-1#05-AAA181#003;temperature-based dynamic viscosity
megajoule;MJ;1 000 000 fold of the derived unit joule;;;MJ;megajoule;MJ;megajoule;3B;megajoule;;0173-1#05-AAA182#003;kinetic or thermal energy
reciprocal hour;1/h;reciprocal of the unit hour;;;1/h;reciprocal hour;h⁻¹;reciprocal hour;H10;;;0173-1#05-AAA183#002;frequency
pound-force foot per pound;lbf·ft/lb;product of the Anglo-American unit pound-force and the Anglo-American unit foot divided by the Anglo-American unit pound (US);;;;;;pound-force foot per pound;G20;;;0173-1#05-AAA184#003;massic torque
gram per day;g/d;0,001 fold of the SI base unit kilogram divided by the unit day;;;g/d;gram per day;g d⁻¹;gram per day;F26;;;0173-1#05-AAA185#003;mass flow rate
milliampere per millimetre;mA/mm;0,001 fold of the SI base unit ampere  divided by the 0,001 fold of the SI base unit metre;;;mA/mm;milliampere per millimetre;mA mm⁻¹;milliampere per millimetre;F76;;;0173-1#05-AAA187#003;lineic electric current or magnetic field strength or magnetization
millihenry per ohm;mH/Ω;0,001 fold of the SI derived unit henry divided by the SI derived unit ohm;;;mH/Ω;millihenry per ohm;mH Ohm⁻¹;millihenry per ohm;H06;;;0173-1#05-AAA188#003;resistance-based inductance
henry per kiloohm;H/kΩ;SI derived unit henry divided by the 1000 fold of the SI derived unit ohm;;;H/kΩ;henry per kiloohm;H kΩ⁻¹;henry per kiloohm;H03;;;0173-1#05-AAA189#003;resistance-based inductance
terahertz;THz;1 000 000 000 000 fold of the SI derived unit hertz;;;THz;terahertz;THz;terahertz;D29;terahertz;;0173-1#05-AAA190#003;frequency
gram per second bar;(g/s)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the SI base unit second and the unit bar;;;g/(s.bar);gram per second bar;g s⁻¹ bar⁻¹;gram per second bar;F65;;;0173-1#05-AAA191#003;pressure-based mass flow
megapascal per kelvin;MPa/K;1000 000 fold of the SI derived unit pascal divided by the SI base unit kelvin;;;MPa/K;megapascal per kelvin;MPa K⁻¹;megapascal per kelvin;F85;;;0173-1#05-AAA192#003;pressure coefficient
gallon per hour;gal (US liq.)/h;unit gallon (US, liq.) according to the Anglo-American system of units divided by the SI unit hour with the relation according to NIST: 1 gal (US, liq.)/d = 1,051 5·10⁻⁶ m³/s;;;gal/h;;gal h⁻¹;gallon per hour;G50;;;0173-1#05-AAA193#003;volume flow rate or volume velocity
kilogram per hour bar;(kg/h)/bar;SI base unit kilogram divided by the product out of the unit hour and the unit bar;;;kg/(h.bar);kilogram per hour bar;kg h⁻¹ bar⁻¹;kilogram per hour bar;F67;;;0173-1#05-AAA194#003;pressure-based mass flow
nanowatt;nW;0,000 000 001 fold of the SI derived unit watt;;;nW;nanowatt;nW;nanowatt;C49;;;0173-1#05-AAA195#003;active power
ampere per square metre;A/m²;SI base unit ampere divided by the power of the SI base unit metre with the exponent 2;DIN 1301-2, ISO 1000;;A/m²;ampere per square metre;A m⁻²;ampere per square metre;A41;ampere per square meter;;0173-1#05-AAA196#003;electric current density
cubic metre per mole;m³/mol;power of the SI base unit metre with the exponent 3 divided by the SI base unit mol;;;m³/mol;cubic metre per mole;m³ mol⁻¹;cubic metre per mole;A40;cubic meter per mole;;0173-1#05-AAA197#003;molar volume
centimetre per kelvin;cm/K;0,01 fold of the SI base unit metre divided by the SI base unit kelvin;;;cm/K;centimetre per kelvin;cm K⁻¹;centimetre per kelvin;F51;;;0173-1#05-AAA198#003;temperature-based length
week;wk;604 800 fold of the SI base unit second;;;;;Woche;week;WEE;;;0173-1#05-AAA199#003;time
kilocoulomb per square metre;kC/m²;1000 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 2;;;kC/m²;kilocoulomb per square metre;kC m⁻²;kilocoulomb per square metre;B28;;;0173-1#05-AAA200#003;areic charge density or electric flux density or electric polarization
rod;rd (US);unit of the length according the Anglo-American system of units with the relation according to NIST: 1 rod  = 5,029 210 metres;NIST Special Publication 811:1995;Rod accord approximately the German ''Rute''. 1 rod = 25 link = 5,5 yard= 16,5 foot= 198 inch = 5,029210 metres;;;;rod;F49;rod (based on U.S. survey foot);;0173-1#05-AAA201#003;distance
reciprocal centimetre;cm⁻¹;reciprocal of the 0,01 fold of the SI base unit metre;;;cm⁻¹;reciprocal centimetre;cm⁻¹;reciprocal centimetre;E90;;;0173-1#05-AAA202#003;repetency
second;s;duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom;SI brochure, DIN 1301-1;base unit of the International System of Units (SI);s;second;s;second;SEC;second;;0173-1#05-AAA203#003;time
cubic centimetre per day kelvin;(cm³/d)/K;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit day and the SI base unit kelvin;;;cm³/(d.K);cubic centimetre per day kelvin;cm³ d⁻¹ K⁻¹;cubic centimetre per day kelvin;G61;;;0173-1#05-AAA204#003;temperature-based volume flow rate
kilopascal per kelvin;kPa/K;1000 fold of the SI derived unit pascal divided by the SI base unit kelvin;;;kPa/K;kilopascal per kelvin;kPa K⁻¹;kilopascal per kelvin;F83;;;0173-1#05-AAA205#003;pressure coefficient
cubic metre per kilogram;m³/kg;power of the SI base unit metre with the exponent 3 divided by the SI base unit kilogram;DIN 1301-2, ISO 1000;;m³/kg;cubic metre per kilogram;m³ kg⁻¹;cubic metre per kilogram;A39;cubic meter per kilogram;;0173-1#05-AAA206#003;specific volume
conventional millimetre of water;mmH₂O;unit of the pressure - 1 mmH₂O accords the static pressure, which is produced from a water column with a height of 1 mm;NIST Special Publication 811:1995;;;;mmH₂O;conventional millimetre of water;HP;millimeter of water, conventional;;0173-1#05-AAA207#003;mechanical tension
kilometre per hour;km/h;1000 fold of the SI base unit metre divided by the unit hour;;;km/h;kilometre per hour;km h⁻¹;kilometre per hour;KMH;;;0173-1#05-AAA208#003;velocity
gram per kilogram;g/kg;0,001 fold of the SI base unit kilogram divided by the SI base unit kilogram;;;g/kg;gram per kilogram;g kg⁻¹;gram per kilogram;GK;;;0173-1#05-AAA209#003;mass fraction
megacoulomb per cubic metre;MC/m³;1 000 000 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3;;;MC/m³;megacoulomb per cubic metre;MC m⁻³;megacoulomb per cubic metre;B69;;;0173-1#05-AAA210#003;volume density of charge
kilojoule;kJ;1000 fold of the SI derived unit joule;;;kJ;kilojoule;kJ;kilojoule;KJO;;;0173-1#05-AAA211#003;kinetic or thermal energy
newton metre;N·m;product out of the SI derived unit newton and the SI base unit metre;DIN 1301-2, ISO 1000;;N·m;newton metre;N m;newton metre;NU;newton meter;;0173-1#05-AAA212#003;torque
